BINCODE	GO.TERM
1.1.1.1.2	GO:0032991
1.1.1.1.2	GO:0034357
1.1.1.1.2	GO:0036211
1.1.1.1.2	GO:0042651
1.1.1.1.2	GO:0043167
1.1.1.1.2	GO:0043169
1.1.1.1.2	GO:0043170
1.1.1.1.2	GO:0043226
1.1.1.1.2	GO:0043227
1.1.1.1.2	GO:0043229
1.1.1.1.2	GO:0043231
1.1.1.1.2	GO:0043412
1.1.1.1.2	GO:0044237
1.1.1.1.2	GO:0044238
1.1.1.1.2	GO:0044260
1.1.1.1.2	GO:0044267
1.1.1.1.2	GO:0044422
1.1.1.1.2	GO:0044424
1.1.1.1.2	GO:0044425
1.1.1.1.2	GO:0044434
1.1.1.1.2	GO:0044435
1.1.1.1.2	GO:0044436
1.1.1.1.2	GO:0044444
1.1.1.1.2	GO:0044446
1.1.1.1.2	GO:0044464
1.1.1.1.2	GO:0046872
1.1.1.1.2	GO:0046906
1.1.1.1.2	GO:0048037
1.1.1.1.2	GO:0050896
1.1.1.1.2	GO:0055035
1.1.1.1.2	GO:0071704
1.1.1.1.2	GO:0097159
1.1.1.1.2	GO:0098796
1.1.1.1.2	GO:1901363
1.1.1.1.2	GO:1901564
11.1.1.3	GO:0003674
11.1.1.3	GO:0003824
11.1.1.3	GO:0005488
11.1.1.3	GO:0005575
11.1.1.3	GO:0006066
11.1.1.3	GO:0006082
11.1.1.3	GO:0006629
11.1.1.3	GO:0006714
11.1.1.3	GO:0006720
11.1.1.3	GO:0006721
11.1.1.3	GO:0008150
11.1.1.3	GO:0008152
11.1.1.3	GO:0008299
11.1.1.3	GO:0008610
11.1.1.3	GO:0009058
11.1.1.3	GO:0009507
11.1.1.3	GO:0009536
11.1.1.3	GO:0009687
11.1.1.3	GO:0009688
11.1.1.3	GO:0009987
11.1.1.3	GO:0010436
11.1.1.3	GO:0016053
11.1.1.3	GO:0016106
11.1.1.3	GO:0016114
11.1.1.3	GO:0016491
11.1.1.3	GO:0016701
11.1.1.3	GO:0016702
11.1.1.3	GO:0019752
11.1.1.3	GO:0032787
11.1.1.3	GO:0043167
11.1.1.3	GO:0043169
11.1.1.3	GO:0043226
11.1.1.3	GO:0043227
11.1.1.3	GO:0043229
11.1.1.3	GO:0043231
11.1.1.3	GO:0043288
11.1.1.3	GO:0043289
11.1.1.3	GO:0043436
11.1.1.3	GO:0044237
11.1.1.3	GO:0044238
11.1.1.3	GO:0044249
11.1.1.3	GO:0044255
11.1.1.3	GO:0044281
11.1.1.3	GO:0044283
11.1.1.3	GO:0044422
11.1.1.3	GO:0044424
11.1.1.3	GO:0044434
11.1.1.3	GO:0044435
11.1.1.3	GO:0044444
11.1.1.3	GO:0044446
11.1.1.3	GO:0044464
11.1.1.3	GO:0045549
11.1.1.3	GO:0046165
11.1.1.3	GO:0046394
11.1.1.3	GO:0046872
11.1.1.3	GO:0051213
11.1.1.3	GO:0055114
11.1.1.3	GO:0071704
11.1.1.3	GO:0072330
11.1.1.3	GO:1901576
11.1.1.3	GO:1901615
11.1.1.3	GO:1901617
11.1.1.3	GO:1902644
11.1.1.3	GO:1902645
1.1.1.1.3	GO:0003674
1.1.1.1.3	GO:0005488
1.1.1.1.3	GO:0005515
1.1.1.1.3	GO:0005575
1.1.1.1.3	GO:0006091
1.1.1.1.3	GO:0006464
1.1.1.1.3	GO:0006807
1.1.1.1.3	GO:0008150
1.1.1.1.3	GO:0008152
1.1.1.1.3	GO:0009314
1.1.1.1.3	GO:0009416
1.1.1.1.3	GO:0009503
1.1.1.1.3	GO:0009507
1.1.1.1.3	GO:0009517
1.1.1.1.3	GO:0009521
1.1.1.1.3	GO:0009522
1.1.1.1.3	GO:0009523
1.1.1.1.3	GO:0009526
1.1.1.1.3	GO:0009534
1.1.1.1.3	GO:0009535
1.1.1.1.3	GO:0009536
1.1.1.1.3	GO:0009579
1.1.1.1.3	GO:0009628
1.1.1.1.3	GO:0009637
1.1.1.1.3	GO:0009639
1.1.1.1.3	GO:0009765
1.1.1.1.3	GO:0009768
1.1.1.1.3	GO:0009783
1.1.1.1.3	GO:0009941
1.1.1.1.3	GO:0009987
1.1.1.1.3	GO:0010114
1.1.1.1.3	GO:0010196
1.1.1.1.3	GO:0010207
1.1.1.1.3	GO:0010218
1.1.1.1.3	GO:0010287
1.1.1.1.3	GO:0015979
1.1.1.1.3	GO:0016020
1.1.1.1.3	GO:0016021
1.1.1.1.3	GO:0016043
1.1.1.1.3	GO:0016168
1.1.1.1.3	GO:0018298
1.1.1.1.3	GO:0019538
1.1.1.1.3	GO:0019904
1.1.1.1.3	GO:0022607
1.1.1.1.3	GO:0030076
1.1.1.1.3	GO:0031224
1.1.1.1.3	GO:0031409
1.1.1.1.3	GO:0031967
1.1.1.1.3	GO:0031975
1.1.1.1.3	GO:0031976
1.1.1.1.3	GO:0031984
1.1.1.1.3	GO:0032991
1.1.1.1.3	GO:0034357
1.1.1.1.3	GO:0034622
1.1.1.1.3	GO:0036211
1.1.1.1.3	GO:0042651
1.1.1.1.3	GO:0043167
1.1.1.1.3	GO:0043169
1.1.1.1.3	GO:0043170
1.1.1.1.3	GO:0043226
1.1.1.1.3	GO:0043227
1.1.1.1.3	GO:0043229
1.1.1.1.3	GO:0043231
1.1.1.1.3	GO:0043412
1.1.1.1.3	GO:0043933
1.1.1.1.3	GO:0044237
1.1.1.1.3	GO:0044238
1.1.1.1.3	GO:0044260
1.1.1.1.3	GO:0044267
1.1.1.1.3	GO:0044422
1.1.1.1.3	GO:0044424
1.1.1.1.3	GO:0044425
1.1.1.1.3	GO:0044434
1.1.1.1.3	GO:0044435
1.1.1.1.3	GO:0044436
1.1.1.1.3	GO:0044444
1.1.1.1.3	GO:0044446
1.1.1.1.3	GO:0044464
1.1.1.1.3	GO:0046872
1.1.1.1.3	GO:0046906
1.1.1.1.3	GO:0048037
1.1.1.1.3	GO:0050896
1.1.1.1.3	GO:0055035
1.1.1.1.3	GO:0065003
1.1.1.1.3	GO:0071704
1.1.1.1.3	GO:0071840
1.1.1.1.3	GO:0097159
1.1.1.1.3	GO:0098796
1.1.1.1.3	GO:0098807
1.1.1.1.3	GO:1901363
